MAP final,Fri, 13 Jan 2023 16:10:17 EET
Method,CogC,v(G)
"com.example.map_toysocialnetwork_javafx.service.FriendshipService.getFriendsFrom(Long, Long)",1,2
"com.example.map_toysocialnetwork_javafx.service.FriendshipService.getRequests(Long, String)",0,1
"com.example.map_toysocialnetwork_javafx.service.FriendshipService.removeFriend(Long, Long)",2,3
com.example.map_toysocialnetwork_javafx.service.MessageService.MessageService(DbMessageRepository),0,1
"com.example.map_toysocialnetwork_javafx.service.MessageService.add(String, Long, Long, LocalDateTime)",0,1
"com.example.map_toysocialnetwork_javafx.service.MessageService.getMessages(Long, Long)",0,1
com.example.map_toysocialnetwork_javafx.service.UserService.UserService(DbUserRepository),0,1
"com.example.map_toysocialnetwork_javafx.service.UserService.add(String, String, String, String)",1,2
com.example.map_toysocialnetwork_javafx.service.UserService.delete(Long),1,2
com.example.map_toysocialnetwork_javafx.service.UserService.findAll(),0,1
"com.example.map_toysocialnetwork_javafx.service.UserService.findByEmailPass(String, String)",1,2
com.example.map_toysocialnetwork_javafx.service.UserService.findOne(Long),0,1
"com.example.map_toysocialnetwork_javafx.service.UserService.update(Long, String, String, String, String)",0,1
com.example.map_toysocialnetwork_javafx.utils.Secure.fromByteToStringHex(byte[]),1,2
"com.example.map_toysocialnetwork_javafx.utils.Secure.getHashedPassword(String, byte[])",1,2
com.example.map_toysocialnetwork_javafx.utils.Secure.getSalt(),0,1
com.example.map_toysocialnetwork_javafx.utils.Secure.getSaltFromHex(String),1,2
com.example.map_toysocialnetwork_javafx.utils.Secure.main(String[]),0,1

Class,DIT,LCOM,NOC,WMC
com.example.map_toysocialnetwork_javafx.HelloApplication,2,2,0,2
com.example.map_toysocialnetwork_javafx.HelloController,1,1,0,1
com.example.map_toysocialnetwork_javafx.domain.Entity,1,1,3,2
com.example.map_toysocialnetwork_javafx.domain.Friendship,2,2,0,9
com.example.map_toysocialnetwork_javafx.domain.Message,2,4,0,9
com.example.map_toysocialnetwork_javafx.domain.MessageDTO,1,3,0,7
com.example.map_toysocialnetwork_javafx.domain.User,2,1,0,12
com.example.map_toysocialnetwork_javafx.domain.UserDTO,1,5,0,8
com.example.map_toysocialnetwork_javafx.domain.validators.ArgumentException,4,0,0,5
com.example.map_toysocialnetwork_javafx.domain.validators.FriendshipValidator,1,1,0,2
com.example.map_toysocialnetwork_javafx.domain.validators.MessageValidator,1,1,0,3
com.example.map_toysocialnetwork_javafx.domain.validators.UserValidator,1,1,0,5
com.example.map_toysocialnetwork_javafx.domain.validators.ValidationException,4,0,0,5
com.example.map_toysocialnetwork_javafx.gui.Chat,1,1,0,12
com.example.map_toysocialnetwork_javafx.gui.Login,1,1,0,6
com.example.map_toysocialnetwork_javafx.gui.MainWindow,1,1,0,27
com.example.map_toysocialnetwork_javafx.gui.RegisterWindow,1,1,0,6
com.example.map_toysocialnetwork_javafx.repository.db.DbFriendshipRepository,3,1,0,21
com.example.map_toysocialnetwork_javafx.repository.db.DbMessageRepository,2,1,0,7
com.example.map_toysocialnetwork_javafx.repository.db.DbUserRepository,3,1,0,13
com.example.map_toysocialnetwork_javafx.repository.file.FileFriendshipRepository,3,1,0,9
com.example.map_toysocialnetwork_javafx.repository.file.FileUserRepository,3,1,0,9
com.example.map_toysocialnetwork_javafx.repository.memory.MemoryFriendshipRepository,2,1,2,13
com.example.map_toysocialnetwork_javafx.repository.memory.MemoryRepository,1,1,3,14
com.example.map_toysocialnetwork_javafx.repository.memory.MemoryUserRepository,2,1,2,4
com.example.map_toysocialnetwork_javafx.service.FriendshipService,1,1,0,11
com.example.map_toysocialnetwork_javafx.service.MessageService,1,1,0,3
com.example.map_toysocialnetwork_javafx.service.UserService,1,1,0,10
com.example.map_toysocialnetwork_javafx.utils.Constants,1,0,0,0
com.example.map_toysocialnetwork_javafx.utils.Secure,1,1,0,7

Interface,CBO
com.example.map_toysocialnetwork_javafx.domain.validators.Validator,13
com.example.map_toysocialnetwork_javafx.repository.Repository,2

Package,Ca,Ce,I
com.example.map_toysocialnetwork_javafx,0,23,1.00
com.example.map_toysocialnetwork_javafx.domain,229,0,0.00
com.example.map_toysocialnetwork_javafx.domain.validators,28,12,0.30
com.example.map_toysocialnetwork_javafx.gui,2,143,0.99
com.example.map_toysocialnetwork_javafx.repository,1,1,0.50
com.example.map_toysocialnetwork_javafx.repository.db,28,71,0.72
com.example.map_toysocialnetwork_javafx.repository.file,0,42,1.00
com.example.map_toysocialnetwork_javafx.repository.memory,33,35,0.51
com.example.map_toysocialnetwork_javafx.service,54,58,0.52
com.example.map_toysocialnetwork_javafx.utils,10,0,0.00

